App Area,Category,Method,Path,Auth Type,Headers,Controller,Handler,Source File,Line
ATS,ATS,POST,/api/ATS/GetApplicantActivityLogs,No visible handler-level auth,,ATSController,GetApplicantActivityLogs,Boga.WebAPI/Controller/ATSController.cs,367
ATS,ATS,POST,/api/ATS/GetApplicantJobDetail,No visible handler-level auth,,ATSController,GetApplicantJobDetail,Boga.WebAPI/Controller/ATSController.cs,319
ATS,ATS,POST,/api/ATS/GetApplicantJobList,No visible handler-level auth,,ATSController,GetApplicantJobList,Boga.WebAPI/Controller/ATSController.cs,278
ATS,ATS,POST,/api/ATS/GetApplicantJobStatusLogs,No visible handler-level auth,,ATSController,GetApplicantJobStatusLogs,Boga.WebAPI/Controller/ATSController.cs,343
ATS,ATS,POST,/api/ATS/GetGradeList,No visible handler-level auth,,ATSController,GetGradeList,Boga.WebAPI/Controller/ATSController.cs,510
ATS,ATS,POST,/api/ATS/GetJobVacancyList,No visible handler-level auth,,ATSController,GetJobVacancyList,Boga.WebAPI/Controller/ATSController.cs,254
ATS,ATS,POST,/api/ATS/GetMasterAssesmentAspectList,No visible handler-level auth,,ATSController,GetMasterAssesmentAspectList,Boga.WebAPI/Controller/ATSController.cs,435
ATS,ATS,POST,/api/ATS/InsertApplicantJobComment,No visible handler-level auth,,ATSController,InsertApplicantJobComment,Boga.WebAPI/Controller/ATSController.cs,226
ATS,ATS,POST,/api/ATS/InsertInterviewFeedback,No visible handler-level auth,,ATSController,InsertInterviewFeedback,Boga.WebAPI/Controller/ATSController.cs,459
ATS,ATS,POST,/api/ATS/InsertInterviewSchedule,No visible handler-level auth,,ATSController,InsertInterviewSchedule,Boga.WebAPI/Controller/ATSController.cs,393
ATS,ATS,POST,/api/ATS/InsertJobOver,No visible handler-level auth,,ATSController,InsertJobOver,Boga.WebAPI/Controller/ATSController.cs,534
ATS,ATS,POST,/api/ATS/SchedulerSyncApplicantJobList,No visible handler-level auth,,ATSController,SchedulerSyncApplicantJobList,Boga.WebAPI/Controller/ATSController.cs,124
ATS,ATS,POST,/api/ATS/SendEmail,No visible handler-level auth,,ATSController,SendEmail,Boga.WebAPI/Controller/ATSController.cs,604
ATS,ATS,POST,/api/ATS/SyncApplicantJobList,No visible handler-level auth,,ATSController,SyncApplicantJobList,Boga.WebAPI/Controller/ATSController.cs,96
ATS,ATS,POST,/api/ATS/UpdateStatusApplicantJob,No visible handler-level auth,,ATSController,UpdateStatusApplicantJob,Boga.WebAPI/Controller/ATSController.cs,170
ATS,JobVacancy,POST,/api/JobVacancy/ListJobVacancy,No visible handler-level auth,,JobVacancyController,ListJobVacancy,Boga.WebAPI/Controller/JobVacancyController.cs,17
BogaBOT,Notification,POST,/api/Notification/DailyNotification,No visible handler-level auth,,NotificationController,DailyNotificationTransaction,Boga.WebAPI/Controller/NotificationController.cs,314
BogaBOT,Notification,POST,/api/Notification/DailyNotificationDueDate,No visible handler-level auth,,NotificationController,DailyNotificationDueDateCashAdvance,Boga.WebAPI/Controller/NotificationController.cs,329
BogaBOT,Notification,POST,/api/Notification/GetCallingLog,No visible handler-level auth,,NotificationController,GetCallingLog,Boga.WebAPI/Controller/NotificationController.cs,243
BogaBOT,Notification,POST,/api/Notification/GetData,No visible handler-level auth,,NotificationController,GetNotificationData,Boga.WebAPI/Controller/NotificationController.cs,57
BogaBOT,Notification,POST,/api/Notification/GetDataPaged,No visible handler-level auth,,NotificationController,GetNotificationDataPaged,Boga.WebAPI/Controller/NotificationController.cs,68
BogaBOT,Notification,POST,/api/Notification/GetReservationLog,No visible handler-level auth,,NotificationController,GetReservationLog,Boga.WebAPI/Controller/NotificationController.cs,282
BogaBOT,Notification,POST,/api/Notification/ReadNotification,No visible handler-level auth,,NotificationController,ReadNotification,Boga.WebAPI/Controller/NotificationController.cs,80
BogaBOT,Notification,POST,/api/Notification/RespondCallingLog,No visible handler-level auth,,NotificationController,RespondCallingLog,Boga.WebAPI/Controller/NotificationController.cs,265
BogaBOT,Notification,POST,/api/Notification/SaveCallingLog,No visible handler-level auth,,NotificationController,SaveCallingLog,Boga.WebAPI/Controller/NotificationController.cs,253
BogaBOT,Notification,POST,/api/Notification/SaveReservationLog,No visible handler-level auth,,NotificationController,SaveReservationLog,Boga.WebAPI/Controller/NotificationController.cs,292
BogaBOT,Notification,POST,/api/Notification/SendEmail,No visible handler-level auth,,NotificationController,SendEmail,Boga.WebAPI/Controller/NotificationController.cs,160
BogaBOT,Notification,POST,/api/Notification/SendMailBASO,No visible handler-level auth,,NotificationController,SendMailBASO,Boga.WebAPI/Controller/NotificationController.cs,215
BogaBOT,Notification,POST,/api/Notification/SendNotif,No visible handler-level auth,,NotificationController,SendNotif,Boga.WebAPI/Controller/NotificationController.cs,108
BogaBOT,Notification,POST,/api/Notification/SendQueuedNotif,No visible handler-level auth,,NotificationController,SendQueuedNotif,Boga.WebAPI/Controller/NotificationController.cs,136
BogaBOT,Notification,POST,/api/Notification/updateSPV,No visible handler-level auth,,NotificationController,updateSPV,Boga.WebAPI/Controller/NotificationController.cs,344
BogaBOT,Telegram,POST,/api/Telegram/SendMessage,No visible handler-level auth,,TelegramController,SendMessage,Boga.WebAPI/Controller/TelegramController.cs,22
BogaBOT,Telegram,POST,/api/Telegram/SendMessageTelegram,No visible handler-level auth,,TelegramController,SendMessageTelegram,Boga.WebAPI/Controller/TelegramController.cs,41
MyBoga,ActiveDirectory,POST,/api/ActiveDirectory/ChangePassword,No visible handler-level auth,,ActiveDirectoryController,ChangePassword,Boga.WebAPI/Controller/ActiveDirectoryController.cs,19
MyBoga,ActiveDirectory,POST,/api/ActiveDirectory/GroupList,No visible handler-level auth,,ActiveDirectoryController,GroupList,Boga.WebAPI/Controller/ActiveDirectoryController.cs,42
MyBoga,ActiveDirectory,POST,/api/ActiveDirectory/SetPassword,No visible handler-level auth,,ActiveDirectoryController,SetPassword,Boga.WebAPI/Controller/ActiveDirectoryController.cs,26
MyBoga,ActiveDirectory,POST,/api/ActiveDirectory/UserList,No visible handler-level auth,,ActiveDirectoryController,UserList,Boga.WebAPI/Controller/ActiveDirectoryController.cs,34
MyBoga,ActiveDirectory,POST,/api/ActiveDirectory/ValidateUser,No visible handler-level auth,,ActiveDirectoryController,ValidateUser,Boga.WebAPI/Controller/ActiveDirectoryController.cs,12
MyBoga,AppVersion,POST,/api/AppVersion/GetVersion,No visible handler-level auth,,AppVersionController,GetVersion,Boga.WebAPI/Controller_OIS/AppVersionController.cs,24
MyBoga,Application,POST,/api/Application/CheckUserAccess,No visible handler-level auth,,ApplicationController,CheckUserAccess,Boga.WebAPI/Controller/ApplicationController.cs,26
MyBoga,Approval,POST,/api/Approval/ApprovalList,No visible handler-level auth,,ApprovalController,ApprovalList,Boga.WebAPI/Controller/ApprovalController.cs,186
